profile,model,spec,nmax,prompt_id,tg_tps,accept,meanlen,gen_tokens
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,none,off,0,57.04,,,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,none,off,1,57.47,,,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,none,off,2,57.51,,,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,none,off,3,56.31,,,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,none,off,4,57.10,,,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,none,off,5,57.08,,,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,none,off,6,57.08,,,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,none,off,7,57.18,,,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,none,off,8,57.24,,,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,none,off,9,57.13,,,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,1,0,67.92,0.64935,1.65,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,1,1,74.74,0.81429,1.81,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,1,2,69.25,0.67105,1.67,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,1,3,72.17,0.77622,1.78,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,1,4,71.28,0.72789,1.73,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,1,5,69.91,0.67763,1.68,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,1,6,67.49,0.62821,1.63,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,1,7,72.94,0.75862,1.76,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,1,8,71.75,0.73469,1.73,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,1,9,72.30,0.75172,1.75,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,2,0,66.58,0.54959,2.10,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,2,1,77.20,0.70142,2.40,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,2,2,69.01,0.56962,2.13,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,2,3,74.57,0.66972,2.34,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,2,4,70.87,0.60435,2.21,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,2,5,68.85,0.56723,2.13,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,2,6,63.99,0.48837,1.98,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,2,7,74.34,0.65455,2.31,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,2,8,70.98,0.60173,2.20,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,2,9,74.79,0.65909,2.32,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,3,0,60.03,0.45937,2.37,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,3,1,72.04,0.61111,2.83,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,3,2,60.68,0.45483,2.35,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,3,3,69.46,0.58273,2.74,256
e4b,gemma-4-E4B-it-qat-UD-Q4_K_XL,draft-mtp,3,4,64.45,0.50831,2.51,256
