profile,spec,nmax,vram_bytes
e4b,none,off,5611220992
e4b,draft-mtp,1,5716533248
e4b,draft-mtp,2,5702172672
e4b,draft-mtp,3,5729136640
e4b,draft-mtp,4,5718839296
q4b,none,off,6843912192
q4b,draft-mtp,1,6919299072
q4b,draft-mtp,2,7220756480
q4b,draft-mtp,3,7308025856
q4b,draft-mtp,4,7428890624
q9b,none,off,8111833088
q9b,draft-mtp,1,7233687552
q9b,draft-mtp,2,7515557888
q9b,draft-mtp,3,8211980288
q9b,draft-mtp,4,8201089024
e2b,none,off,3331584000
e2b,draft-mtp,1,3419594752
e2b,draft-mtp,2,3403018240
e2b,draft-mtp,3,3434065920
e2b,draft-mtp,4,3431309312
